SAMPLE	PLATE	COLUMN	ROW	GROUP	CODE	ANCESTRY	SEX	FAMILY_ID	RELATIONSHIP	FLOWCELLS	OUTPUT	READ_N50	NOTES	HAS_SR	base_sample_id	T2T_cram	T2T_crai	T2T_mean_cov	T2T_median_cov	T2T_xy_ratio	T2T_avg_read_identity	T2T_median_read_identity	T2T_N50	T2T_readmass	base_sample_id	GRCh38_cram	GRCh38_crai	GRCh38_mean_cov	GRCh38_median_cov	GRCh38_xy_ratio	GRCh38_avg_read_identity	GRCh38_median_read_identity	GRCh38_N50	GRCh38_readmass
HG03517	P06	12	E	ESN	ESN	Esan in Nigeria [ESN]	Female	NG108	mother	PAK08991	36,4	25.351		X	HG03517	/groups/bi-marvl/samples/alignments/T2T/HG03517/alignments/HG03517.cram	/groups/bi-marvl/samples/alignments/T2T/HG03517/alignments/HG03517.cram.crai	11.3	11	37	91.3	95.2	24697	38425621337	HG03517	/groups/bi-marvl/samples/alignments/GRCh38/HG03517/alignments/HG03517.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03517/alignments/HG03517.cram.crai	11.4	11	11	90.4	94.9	24635	38586645530
HG03518	P06	12	F	ESN	ESN	Esan in Nigeria [ESN]	Male	NG108	father	PAK09041	43,5	23.956		X	HG03518	/groups/bi-marvl/samples/alignments/T2T/HG03518/alignments/HG03518.cram	/groups/bi-marvl/samples/alignments/T2T/HG03518/alignments/HG03518.cram.crai	13.58	13	1	91.5	95.2	23347	46251496212	HG03518	/groups/bi-marvl/samples/alignments/GRCh38/HG03518/alignments/HG03518.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03518/alignments/HG03518.cram.crai	13.7	13	1	90.5	94.9	23248	46517221595
HG03521	P01	10	G	ESN	ESN	Esan in Nigeria [ESN]	Male	NG109	father	PAI73033	100,2	13.552		X	HG03521	/groups/bi-marvl/samples/alignments/T2T/HG03521/alignments/HG03521.cram	/groups/bi-marvl/samples/alignments/T2T/HG03521/alignments/HG03521.cram.crai	31.02	31	1	94.3	96.5	12399	1.08E+11	HG03521	/groups/bi-marvl/samples/alignments/GRCh38/HG03521/alignments/HG03521.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03521/alignments/HG03521.cram.crai	31.37	31	1	93.6	96.4	12269	1.08E+11
HG03539	P06	12	G	GWD	GWD	Gambian in Western Division - Mandinka [GWD]	Female	GB125	mother	PAK06485 PAK12860	103,6	24.061		X	HG03539	/groups/bi-marvl/samples/alignments/T2T/HG03539/alignments/HG03539.cram	/groups/bi-marvl/samples/alignments/T2T/HG03539/alignments/HG03539.cram.crai	32.15	32	41	91.1	94.2	23573	1.07E+11	HG03539	/groups/bi-marvl/samples/alignments/GRCh38/HG03539/alignments/HG03539.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03539/alignments/HG03539.cram.crai	32.67	32	11	90.3	94	23518	1.08E+11
HG03548	P01	10	H	MSL	MSL	Mende in Sierra Leone [MSL]	Female		proband	PAI73070	71,0	23.348		X	HG03548	/groups/bi-marvl/samples/alignments/T2T/HG03548/alignments/HG03548.cram	/groups/bi-marvl/samples/alignments/T2T/HG03548/alignments/HG03548.cram.crai	22.29	22	39	91.7	94.9	22758	74677267250	HG03548	/groups/bi-marvl/samples/alignments/GRCh38/HG03548/alignments/HG03548.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03548/alignments/HG03548.cram.crai	22.49	22	11	91	94.7	22677	75012057263
HG03577	P01	11	A	MSL	MSL	Mende in Sierra Leone [MSL]	Male	SL72	father	PAI74392	70,0	17.299		X	HG03577	/groups/bi-marvl/samples/alignments/T2T/HG03577/alignments/HG03577.cram	/groups/bi-marvl/samples/alignments/T2T/HG03577/alignments/HG03577.cram.crai	21.73	22	1	91.8	94.6	17140	72831694158	HG03577	/groups/bi-marvl/samples/alignments/GRCh38/HG03577/alignments/HG03577.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03577/alignments/HG03577.cram.crai	22.12	22	1	91.2	94.4	17008	73673722002
HG03582	P01	11	B	MSL	MSL	Mende in Sierra Leone [MSL]	Male	SL73	father	PAI55758	61,0	23.249		X	HG03582	/groups/bi-marvl/samples/alignments/T2T/HG03582/alignments/HG03582.cram	/groups/bi-marvl/samples/alignments/T2T/HG03582/alignments/HG03582.cram.crai	19.02	19	1	92.5	95.9	22853	63901747372	HG03582	/groups/bi-marvl/samples/alignments/GRCh38/HG03582/alignments/HG03582.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03582/alignments/HG03582.cram.crai	19.24	19	1	91.9	95.8	22747	64358462555
HG03593	P03	6	F	BEB	BEB	Bengali in Bangladesh [BEB]	Male		proband	PAM49345	59,1	19.867		X	HG03593	/groups/bi-marvl/samples/alignments/T2T/HG03593/alignments/HG03593.cram	/groups/bi-marvl/samples/alignments/T2T/HG03593/alignments/HG03593.cram.crai	18.23	18	1	91.9	95.2	19131	61598576611	HG03593	/groups/bi-marvl/samples/alignments/GRCh38/HG03593/alignments/HG03593.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03593/alignments/HG03593.cram.crai	18.44	18	1	91.4	95	19026	62021331143
HG03595	P01	11	C	BEB	BEB	Bengali in Bangladesh [BEB]	Female	BD7	mother	PAI55696	59,3	30.744		X	HG03595	/groups/bi-marvl/samples/alignments/T2T/HG03595/alignments/HG03595.cram	/groups/bi-marvl/samples/alignments/T2T/HG03595/alignments/HG03595.cram.crai	18.68	19	44	92.7	95.8	30534	61879233106	HG03595	/groups/bi-marvl/samples/alignments/GRCh38/HG03595/alignments/HG03595.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03595/alignments/HG03595.cram.crai	18.86	19	12	91.9	95.5	30413	62209424076
HG03598	P03	6	G	BEB	BEB	Bengali in Bangladesh [BEB]	Female	BD8	mother	PAM49923	62,6	10.174		X	HG03598	/groups/bi-marvl/samples/alignments/T2T/HG03598/alignments/HG03598.cram	/groups/bi-marvl/samples/alignments/T2T/HG03598/alignments/HG03598.cram.crai	19.18	19	44	92.6	95.1	9913	63970887664	HG03598	/groups/bi-marvl/samples/alignments/GRCh38/HG03598/alignments/HG03598.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03598/alignments/HG03598.cram.crai	19.37	19	14	92	95	9850	64186304863
HG03600	P03	6	H	BEB	BEB	Bengali in Bangladesh [BEB]	Male	BD9	father	PAM49122	40,1	17.536		X	HG03600	/groups/bi-marvl/samples/alignments/T2T/HG03600/alignments/HG03600.cram	/groups/bi-marvl/samples/alignments/T2T/HG03600/alignments/HG03600.cram.crai	12.21	12	1	90.6	93.6	17162	41282278079	HG03600	/groups/bi-marvl/samples/alignments/GRCh38/HG03600/alignments/HG03600.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03600/alignments/HG03600.cram.crai	12.32	12	1	90	93.4	17106	41439984610
HG03604	P01	11	D	BEB	BEB	Bengali in Bangladesh [BEB]	Female		proband	PAI55718	73,1	17.427		X	HG03604	/groups/bi-marvl/samples/alignments/T2T/HG03604/alignments/HG03604.cram	/groups/bi-marvl/samples/alignments/T2T/HG03604/alignments/HG03604.cram.crai	22.9	23	41	93.1	96.2	17243	77032473363	HG03604	/groups/bi-marvl/samples/alignments/GRCh38/HG03604/alignments/HG03604.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03604/alignments/HG03604.cram.crai	23.13	23	13	92.5	96	17182	77370578880
HG03607	P01	11	E	BEB	BEB	Bengali in Bangladesh [BEB]	Female	BD11	mother	PAI76674	55,4	21.419		X	HG03607	/groups/bi-marvl/samples/alignments/T2T/HG03607/alignments/HG03607.cram	/groups/bi-marvl/samples/alignments/T2T/HG03607/alignments/HG03607.cram.crai	17.28	17	43	93.3	96.1	21267	57657532463	HG03607	/groups/bi-marvl/samples/alignments/GRCh38/HG03607/alignments/HG03607.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03607/alignments/HG03607.cram.crai	17.44	17	13	92.7	96	21195	57917024703
HG03633	P09	11	A	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Male	PK49	father	PAK14860	28,6	16.593		X	HG03633	/groups/bi-marvl/samples/alignments/T2T/HG03633/alignments/HG03633.cram	/groups/bi-marvl/samples/alignments/T2T/HG03633/alignments/HG03633.cram.crai	8.8	9	1	92.8	96.3	16261	29153865735	HG03633	/groups/bi-marvl/samples/alignments/GRCh38/HG03633/alignments/HG03633.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03633/alignments/HG03633.cram.crai	8.89	9	1	92	96	16221	29272940689
HG03639	P09	11	B	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Male	PK51	father	PAK26393	28,6	21.744		X	HG03639	/groups/bi-marvl/samples/alignments/T2T/HG03639/alignments/HG03639.cram	/groups/bi-marvl/samples/alignments/T2T/HG03639/alignments/HG03639.cram.crai	8.84	9	1	92.2	95.9	21104	29770312750	HG03639	/groups/bi-marvl/samples/alignments/GRCh38/HG03639/alignments/HG03639.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03639/alignments/HG03639.cram.crai	8.92	9	1	91.3	95.6	21043	29892986207
HG03640	P09	11	C	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Female	PK51	mother	PAK14174 PAM93080	60,6	19.112		X	HG03640	/groups/bi-marvl/samples/alignments/T2T/HG03640/alignments/HG03640.cram	/groups/bi-marvl/samples/alignments/T2T/HG03640/alignments/HG03640.cram.crai	18.84	19	43	93.9	97	18614	63016054017	HG03640	/groups/bi-marvl/samples/alignments/GRCh38/HG03640/alignments/HG03640.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03640/alignments/HG03640.cram.crai	18.98	19	14	93.3	96.9	18560	63254292122
HG03644	P09	11	D	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAK14298 PAM92754	47,4	19.971		X	HG03644	/groups/bi-marvl/samples/alignments/T2T/HG03644/alignments/HG03644.cram	/groups/bi-marvl/samples/alignments/T2T/HG03644/alignments/HG03644.cram.crai	14.77	15	1	92.8	96.3	19468	48931249743	HG03644	/groups/bi-marvl/samples/alignments/GRCh38/HG03644/alignments/HG03644.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03644/alignments/HG03644.cram.crai	14.92	15	1	92.2	96.1	19402	49204898704
HG03645	P09	11	E	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAK11552 PAM67548 PAM92918	67,1	16.179		X	HG03645	/groups/bi-marvl/samples/alignments/T2T/HG03645/alignments/HG03645.cram	/groups/bi-marvl/samples/alignments/T2T/HG03645/alignments/HG03645.cram.crai	20.8	21	44	94.8	97.4	15935	68432077544	HG03645	/groups/bi-marvl/samples/alignments/GRCh38/HG03645/alignments/HG03645.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03645/alignments/HG03645.cram.crai	20.98	21	12	94.1	97.3	15897	68649462562
HG03650	P09	11	F	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Female	PK52	mother	PAK11447	39,8	16.226		X	HG03650	/groups/bi-marvl/samples/alignments/T2T/HG03650/alignments/HG03650.cram	/groups/bi-marvl/samples/alignments/T2T/HG03650/alignments/HG03650.cram.crai	12.31	12	39	92.9	96.4	15820	41231464385	HG03650	/groups/bi-marvl/samples/alignments/GRCh38/HG03650/alignments/HG03650.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03650/alignments/HG03650.cram.crai	12.42	12	12	92.1	96.2	15789	41343087126
HG03672	P09	11	G	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAK11437	35,8	22.624		X	HG03672	/groups/bi-marvl/samples/alignments/T2T/HG03672/alignments/HG03672.cram	/groups/bi-marvl/samples/alignments/T2T/HG03672/alignments/HG03672.cram.crai	11.09	11	1	92.3	96	22024	37443586818	HG03672	/groups/bi-marvl/samples/alignments/GRCh38/HG03672/alignments/HG03672.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03672/alignments/HG03672.cram.crai	11.19	11	1	91.2	95.7	21986	37565094939
HG03673	P09	11	H	STU	STU	Sri Lankan Tamil in the UK [STU]	Female	ST10	mother	PAK11456	48,0	16.674		X	HG03673	/groups/bi-marvl/samples/alignments/T2T/HG03673/alignments/HG03673.cram	/groups/bi-marvl/samples/alignments/T2T/HG03673/alignments/HG03673.cram.crai	14.82	15	43	93.5	96.4	16409	48968676479	HG03673	/groups/bi-marvl/samples/alignments/GRCh38/HG03673/alignments/HG03673.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03673/alignments/HG03673.cram.crai	14.94	15	12	92.8	96.2	16389	49096636162
HG03681	P09	12	A	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM81902 PAM92849	68,3	11.605		X	HG03681	/groups/bi-marvl/samples/alignments/T2T/HG03681/alignments/HG03681.cram	/groups/bi-marvl/samples/alignments/T2T/HG03681/alignments/HG03681.cram.crai	21.15	21	1	95.4	97.5	11263	70154197829	HG03681	/groups/bi-marvl/samples/alignments/GRCh38/HG03681/alignments/HG03681.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03681/alignments/HG03681.cram.crai	21.37	21	1	94.7	97.4	11168	70544284532
HG03686	P09	12	B	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM80972 PAM92814	52,0	11.013		X	HG03686	/groups/bi-marvl/samples/alignments/T2T/HG03686/alignments/HG03686.cram	/groups/bi-marvl/samples/alignments/T2T/HG03686/alignments/HG03686.cram.crai	16.26	16	1	95	97.5	10712	53895217537	HG03686	/groups/bi-marvl/samples/alignments/GRCh38/HG03686/alignments/HG03686.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03686/alignments/HG03686.cram.crai	16.43	16	1	94.4	97.4	10654	54200969668
HG03687	P01	11	F	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAI76670	120,4	16.303		X	HG03687	/groups/bi-marvl/samples/alignments/T2T/HG03687/alignments/HG03687.cram	/groups/bi-marvl/samples/alignments/T2T/HG03687/alignments/HG03687.cram.crai	37.48	38	2	92.1	94.8	16349	1.20E+11	HG03687	/groups/bi-marvl/samples/alignments/GRCh38/HG03687/alignments/HG03687.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03687/alignments/HG03687.cram.crai	37.84	37	1	91.2	94.5	16312	1.21E+11
HG03689	P09	12	C	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAM92529	27,5	15.144		X	HG03689	/groups/bi-marvl/samples/alignments/T2T/HG03689/alignments/HG03689.cram	/groups/bi-marvl/samples/alignments/T2T/HG03689/alignments/HG03689.cram.crai	8.67	9	42	94.1	97.2	14659	28827679214	HG03689	/groups/bi-marvl/samples/alignments/GRCh38/HG03689/alignments/HG03689.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03689/alignments/HG03689.cram.crai	8.75	9	14	93.7	97.1	14613	28928260535
HG03690	P09	12	D	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAM67626 PAM92859	42,4	15.778		X	HG03690	/groups/bi-marvl/samples/alignments/T2T/HG03690/alignments/HG03690.cram	/groups/bi-marvl/samples/alignments/T2T/HG03690/alignments/HG03690.cram.crai	13.32	13	40	93.7	97	15268	44444574948	HG03690	/groups/bi-marvl/samples/alignments/GRCh38/HG03690/alignments/HG03690.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03690/alignments/HG03690.cram.crai	13.45	13	14	93.2	96.9	15216	44637647673
HG03695	P09	12	E	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM92511	31,4	10.416		X	HG03695	/groups/bi-marvl/samples/alignments/T2T/HG03695/alignments/HG03695.cram	/groups/bi-marvl/samples/alignments/T2T/HG03695/alignments/HG03695.cram.crai	9.88	10	1	95	97.3	10283	32538281662	HG03695	/groups/bi-marvl/samples/alignments/GRCh38/HG03695/alignments/HG03695.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03695/alignments/HG03695.cram.crai	9.97	10	1	94.3	97.2	10212	32707646118
HG03697	P09	12	F	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM67544 PAM92450	50,9	15.337		X	HG03697	/groups/bi-marvl/samples/alignments/T2T/HG03697/alignments/HG03697.cram	/groups/bi-marvl/samples/alignments/T2T/HG03697/alignments/HG03697.cram.crai	15.49	15	1	93.3	96.7	14951	52404612913	HG03697	/groups/bi-marvl/samples/alignments/GRCh38/HG03697/alignments/HG03697.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03697/alignments/HG03697.cram.crai	15.66	15	0	92.6	96.6	14866	52673614368
HG03703	P09	12	G	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Female	PK60	mother	PAM92525	27,0	8.2		X	HG03703	/groups/bi-marvl/samples/alignments/T2T/HG03703/alignments/HG03703.cram	/groups/bi-marvl/samples/alignments/T2T/HG03703/alignments/HG03703.cram.crai	8.41	8	45	95.2	97.4	7943	28070768435	HG03703	/groups/bi-marvl/samples/alignments/GRCh38/HG03703/alignments/HG03703.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03703/alignments/HG03703.cram.crai	8.49	8	12	94.7	97.3	7915	28153451472
HG03705	P09	12	H	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Male	PK61	father	PAM92871	52,6	9.508		X	HG03705	/groups/bi-marvl/samples/alignments/T2T/HG03705/alignments/HG03705.cram	/groups/bi-marvl/samples/alignments/T2T/HG03705/alignments/HG03705.cram.crai	16.38	16	1	95.4	97.4	9217	54182658557	HG03705	/groups/bi-marvl/samples/alignments/GRCh38/HG03705/alignments/HG03705.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03705/alignments/HG03705.cram.crai	16.6	16	1	94.8	97.3	9136	54553055403
HG03708	P10	1	A	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Male	PK62	father	PAM51419	34,7	6.368		X	HG03708	/groups/bi-marvl/samples/alignments/T2T/HG03708/alignments/HG03708.cram	/groups/bi-marvl/samples/alignments/T2T/HG03708/alignments/HG03708.cram.crai	10.67	11	1	93.3	95.6	6142	35549508160	HG03708	/groups/bi-marvl/samples/alignments/GRCh38/HG03708/alignments/HG03708.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03708/alignments/HG03708.cram.crai	10.77	11	1	92.8	95.4	6122	35658084003
HG03709	P10	1	B	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Female	PK62	mother	PAM48546	50,8	9.663		X	HG03709	/groups/bi-marvl/samples/alignments/T2T/HG03709/alignments/HG03709.cram	/groups/bi-marvl/samples/alignments/T2T/HG03709/alignments/HG03709.cram.crai	15.66	16	43	93.2	95.5	9360	51862198401	HG03709	/groups/bi-marvl/samples/alignments/GRCh38/HG03709/alignments/HG03709.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03709/alignments/HG03709.cram.crai	15.79	16	13	92.7	95.3	9313	52016683251
HG03711	P10	1	C	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM61581	31,3	16.915		X	HG03711	/groups/bi-marvl/samples/alignments/T2T/HG03711/alignments/HG03711.cram	/groups/bi-marvl/samples/alignments/T2T/HG03711/alignments/HG03711.cram.crai	9.74	10	1	91.9	94.8	16419	32474044006	HG03711	/groups/bi-marvl/samples/alignments/GRCh38/HG03711/alignments/HG03711.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03711/alignments/HG03711.cram.crai	9.83	10	1	91.3	94.6	16347	32619068840
HG03714	P06	12	H	ITU	ITU	Indian Telugu in the U.K. [ITU]	Female		proband	PAK06741	56,8	18.622		X	HG03714	/groups/bi-marvl/samples/alignments/T2T/HG03714/alignments/HG03714.cram	/groups/bi-marvl/samples/alignments/T2T/HG03714/alignments/HG03714.cram.crai	17.73	18	39	91.6	95.1	18060	60003889539	HG03714	/groups/bi-marvl/samples/alignments/GRCh38/HG03714/alignments/HG03714.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03714/alignments/HG03714.cram.crai	17.88	17	13	90.7	94.8	18003	60245508002
HG03721	P07	1	B	ITU	ITU	Indian Telugu in the U.K. [ITU]	Female	IT3	mother	PAI05668	60,3	18.556		X	HG03721	/groups/bi-marvl/samples/alignments/T2T/HG03721/alignments/HG03721.cram	/groups/bi-marvl/samples/alignments/T2T/HG03721/alignments/HG03721.cram.crai	18.6	19	43	92.3	95.1	18435	61819622959	HG03721	/groups/bi-marvl/samples/alignments/GRCh38/HG03721/alignments/HG03721.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03721/alignments/HG03721.cram.crai	18.77	19	11	91.6	94.9	18403	61994642855
HG03722	P07	1	C	ITU	ITU	Indian Telugu in the U.K. [ITU]	Female	IT2	mother	PAI06524	40,2	24.161		X	HG03722	/groups/bi-marvl/samples/alignments/T2T/HG03722/alignments/HG03722.cram	/groups/bi-marvl/samples/alignments/T2T/HG03722/alignments/HG03722.cram.crai	12.5	12	43	92.8	96.1	24039	41173741391	HG03722	/groups/bi-marvl/samples/alignments/GRCh38/HG03722/alignments/HG03722.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03722/alignments/HG03722.cram.crai	12.61	12	12	92	96	23989	41346120521
HG03727	P07	1	D	ITU	ITU	Indian Telugu in the U.K. [ITU]	Male	IT3	father	PAI05364	45,7	19.366		X	HG03727	/groups/bi-marvl/samples/alignments/T2T/HG03727/alignments/HG03727.cram	/groups/bi-marvl/samples/alignments/T2T/HG03727/alignments/HG03727.cram.crai	14.18	14	1	91.3	94.2	19190	46977021479	HG03727	/groups/bi-marvl/samples/alignments/GRCh38/HG03727/alignments/HG03727.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03727/alignments/HG03727.cram.crai	14.31	14	1	90.6	93.9	19122	47183184247
HG03729	P07	1	E	ITU	ITU	Indian Telugu in the U.K. [ITU]	Male		proband	PAI06351 PAM56274	71,5	25.455		X	HG03729	/groups/bi-marvl/samples/alignments/T2T/HG03729/alignments/HG03729.cram	/groups/bi-marvl/samples/alignments/T2T/HG03729/alignments/HG03729.cram.crai	22.13	22	1	92.1	95.7	24974	74585691811	HG03729	/groups/bi-marvl/samples/alignments/GRCh38/HG03729/alignments/HG03729.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03729/alignments/HG03729.cram.crai	22.34	22	1	91.2	95.4	24893	74951385055
HG03730	P07	1	F	ITU	ITU	Indian Telugu in the U.K. [ITU]	Female		proband	PAI99227	37,7	21.945		X	HG03730	/groups/bi-marvl/samples/alignments/T2T/HG03730/alignments/HG03730.cram	/groups/bi-marvl/samples/alignments/T2T/HG03730/alignments/HG03730.cram.crai	11.65	12	43	91.9	95.2	21669	38920480827	HG03730	/groups/bi-marvl/samples/alignments/GRCh38/HG03730/alignments/HG03730.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03730/alignments/HG03730.cram.crai	11.74	12	12	91.2	95	21609	39055057755
HG03740	P10	1	D	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM61523	39,9	18.232		X	HG03740	/groups/bi-marvl/samples/alignments/T2T/HG03740/alignments/HG03740.cram	/groups/bi-marvl/samples/alignments/T2T/HG03740/alignments/HG03740.cram.crai	12.15	12	1	89.2	91.8	17845	40507037171	HG03740	/groups/bi-marvl/samples/alignments/GRCh38/HG03740/alignments/HG03740.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03740/alignments/HG03740.cram.crai	12.26	12	1	88.7	91.5	17750	40701224146
HG03741	P10	1	E	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAK15679	34,3	14.317		X	HG03741	/groups/bi-marvl/samples/alignments/T2T/HG03741/alignments/HG03741.cram	/groups/bi-marvl/samples/alignments/T2T/HG03741/alignments/HG03741.cram.crai	10.11	10	41	88.9	91.5	14384	34026098372	HG03741	/groups/bi-marvl/samples/alignments/GRCh38/HG03741/alignments/HG03741.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03741/alignments/HG03741.cram.crai	10.21	10	15	88.5	91.2	14339	34159409316
HG03742	P07	1	G	ITU	ITU	Indian Telugu in the U.K. [ITU]	Male		proband	PAI99302 PAK13487	48,0	22.267		X	HG03742	/groups/bi-marvl/samples/alignments/T2T/HG03742/alignments/HG03742.cram	/groups/bi-marvl/samples/alignments/T2T/HG03742/alignments/HG03742.cram.crai	14.8	15	1	92.3	95.5	21869	49523899401	HG03742	/groups/bi-marvl/samples/alignments/GRCh38/HG03742/alignments/HG03742.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03742/alignments/HG03742.cram.crai	14.93	15	0	91.4	95.3	21774	49770415796
HG03746	P10	1	F	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAM48506	50,8	12.989		X	HG03746	/groups/bi-marvl/samples/alignments/T2T/HG03746/alignments/HG03746.cram	/groups/bi-marvl/samples/alignments/T2T/HG03746/alignments/HG03746.cram.crai	15.78	16	1	93	95.7	12587	52376346592	HG03746	/groups/bi-marvl/samples/alignments/GRCh38/HG03746/alignments/HG03746.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03746/alignments/HG03746.cram.crai	15.9	16	1	92.5	95.6	12508	52577888467
HG03753	P10	1	G	STU	STU	Sri Lankan Tamil in the UK [STU]	Male		proband	PAK16395	75,1	8.691		X	HG03753	/groups/bi-marvl/samples/alignments/T2T/HG03753/alignments/HG03753.cram	/groups/bi-marvl/samples/alignments/T2T/HG03753/alignments/HG03753.cram.crai	23.15	23	1	94.7	96.6	8296	77861663459	HG03753	/groups/bi-marvl/samples/alignments/GRCh38/HG03753/alignments/HG03753.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03753/alignments/HG03753.cram.crai	23.38	23	1	94.1	96.5	8260	78103399043
HG03756	P10	1	H	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAK18197	35,2	12.206		X	HG03756	/groups/bi-marvl/samples/alignments/T2T/HG03756/alignments/HG03756.cram	/groups/bi-marvl/samples/alignments/T2T/HG03756/alignments/HG03756.cram.crai	10.83	11	43	92.9	95.6	11768	36294619905	HG03756	/groups/bi-marvl/samples/alignments/GRCh38/HG03756/alignments/HG03756.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03756/alignments/HG03756.cram.crai	10.93	11	14	92.4	95.4	11719	36446223189
HG03760	P10	2	A	STU	STU	Sri Lankan Tamil in the UK [STU]	Female		proband	PAI99259	45,3	21.828		X	HG03760	/groups/bi-marvl/samples/alignments/T2T/HG03760/alignments/HG03760.cram	/groups/bi-marvl/samples/alignments/T2T/HG03760/alignments/HG03760.cram.crai	14.07	14	42	93.1	96.4	21301	47049795743	HG03760	/groups/bi-marvl/samples/alignments/GRCh38/HG03760/alignments/HG03760.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03760/alignments/HG03760.cram.crai	14.18	14	12	92.3	96.2	21255	47192971401
HG03761	P10	2	B	PJL	PJL	Punjabi in Lahore, Pakistan [PJL]	Male	PK63	father	PAI98830 PAM93917	46,4	18.028		X	HG03761	/groups/bi-marvl/samples/alignments/T2T/HG03761/alignments/HG03761.cram	/groups/bi-marvl/samples/alignments/T2T/HG03761/alignments/HG03761.cram.crai	14.36	14	1	93.9	96.9	17654	47849806941	HG03761	/groups/bi-marvl/samples/alignments/GRCh38/HG03761/alignments/HG03761.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG03761/alignments/HG03761.cram.crai	14.52	14	1	93	96.7	17554	48171284893
